329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",11/18/1946,3
329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",11/18/1946,3
329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,CLEVELAND v. UNITED STATES,11/18/1946,2
329 U.S. 29,67 S. Ct. 1,91 L. Ed. 22,1946 U.S. LEXIS 3037,CHAMPLIN REFINING CO. v. UNITED STATES ET AL.,11/18/1946,2
329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,11/25/1946,2
329 U.S. 64,67 S. Ct. 154,91 L. Ed. 44,1946 U.S. LEXIS 2997,"UNITED STATES v. HOWARD P. FOLEY CO., INC.",11/25/1946,3
329 U.S. 69,67 S. Ct. 156,91 L. Ed. 80,1946 U.S. LEXIS 3005,RICHFIELD OIL CORP. v. STATE BOARD OF EQUALIZATION,11/25/1946,3
329 U.S. 90,67 S. Ct. 133,91 L. Ed. 103,1946 U.S. LEXIS 3053,AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION,11/25/1946,2
329 U.S. 129,67 S. Ct. 231,91 L. Ed. 128,1946 U.S. LEXIS 2995,ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.,12/9/1946,5
329 U.S. 143,67 S. Ct. 245,91 L. Ed. 136,1946 U.S. LEXIS 3047,UNEMPLOYMENT COMPENSATION COMMISSION OF ALASKA ET AL. v. ARAGON ET AL.,12/9/1946,7
329 U.S. 156,67 S. Ct. 237,91 L. Ed. 162,1946 U.S. LEXIS 3048,VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.,12/9/1946,2
329 U.S. 173,67 S. Ct. 216,91 L. Ed. 172,1946 U.S. LEXIS 1657,CARTER v. ILLINOIS,12/9/1946,2
329 U.S. 187,67 S. Ct. 261,91 L. Ed. 181,1946 U.S. LEXIS 1658,BALLARD ET AL. v. UNITED STATES,12/9/1946,3
329 U.S. 207,67 S. Ct. 211,91 L. Ed. 193,1946 U.S. LEXIS 1659,UNITED STATES v. BRUNO,12/9/1946,3
329 U.S. 211,67 S. Ct. 224,91 L. Ed. 196,1946 U.S. LEXIS 1660,FISWICK ET AL. v. UNITED STATES,12/9/1946,3
329 U.S. 223,67 S. Ct. 213,91 L. Ed. 204,1946 U.S. LEXIS 3147,"FEDERAL COMMUNICATIONS COMMISSION v. WOKO, INC.",12/9/1946,4
329 U.S. 230,67 S. Ct. 252,91 L. Ed. 209,1946 U.S. LEXIS 2996,UNITED STATES v. CARMACK,12/9/1946,4
329 U.S. 249,67 S. Ct. 274,91 L. Ed. 265,1946 U.S. LEXIS 1616,"FREEMAN, TRUSTEE, v. HEWIT, DIRECTOR OF GROSS INCOME TAX DIVISION",12/16/1946,3
329 U.S. 287,67 S. Ct. 207,91 L. Ed. 290,1946 U.S. LEXIS 1617,"UNITED STATES v. RUZICKA ET AL., TRADING AS SEELEY DAIRY",12/16/1946,3
329 U.S. 296,67 S. Ct. 271,91 L. Ed. 296,1946 U.S. LEXIS 3145,"ROTHENSIES, COLLECTOR OF INTERNAL REVENUE, v. ELECTRIC STORAGE BATTERY CO.",12/16/1946,3
329 U.S. 304,67 S. Ct. 313,91 L. Ed. 308,1946 U.S. LEXIS 1582,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. SAMUELS",12/23/1946,3
329 U.S. 317,67 S. Ct. 320,91 L. Ed. 318,1946 U.S. LEXIS 1583,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. HOROWITZ",12/23/1946,3
329 U.S. 324,67 S. Ct. 324,91 L. Ed. 322,1946 U.S. LEXIS 3044,NATIONAL LABOR RELATIONS BOARD v. A. J. TOWER CO.,12/23/1946,3
329 U.S. 338,67 S. Ct. 301,91 L. Ed. 331,1946 U.S. LEXIS 1584,GIBSON v. UNITED STATES,12/23/1946,3
329 U.S. 362,67 S. Ct. 340,91 L. Ed. 348,1946 U.S. LEXIS 3045,"ILLINOIS EX REL. GORDON, DIRECTOR OF LABOR, v. CAMPBELL, COLLECTOR OF INTERNAL REVENUE",12/23/1946,2
329 U.S. 379,67 S. Ct. 332,91 L. Ed. 359,1946 U.S. LEXIS 1585,UNITED STATES v. SHERIDAN,12/23/1946,4
329 U.S. 394,67 S. Ct. 416,91 L. Ed. 374,1947 U.S. LEXIS 3019,EDWARD KATZINGER CO. v. CHICAGO METALLIC MANUFACTURING CO.,1/6/1947,2
329 U.S. 402,67 S. Ct. 421,91 L. Ed. 380,1947 U.S. LEXIS 3020,MACGREGOR v. WESTINGHOUSE ELECTRIC & MANUFACTURING CO.,1/6/1947,4
329 U.S. 416,67 S. Ct. 444,91 L. Ed. 390,1947 U.S. LEXIS 2796,"INTERNATIONAL HARVESTER CO. v. EVATT, TAX COMMISSIONER",1/6/1947,2
329 U.S. 424,67 S. Ct. 435,91 L. Ed. 396,1947 U.S. LEXIS 2902,"UNITED STATES ET AL. v. SEATRAIN LINES, INC.",1/6/1947,2
329 U.S. 433,67 S. Ct. 439,91 L. Ed. 402,1947 U.S. LEXIS 2797,"STEELE v. GENERAL MILLS, INC.",1/6/1947,3
